A,B,P
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
1,0,0
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
2,0,0
2,1,2
2,2,4
2,3,6
2,4,8
2,5,10
2,6,12
2,7,14
2,8,16
2,9,18
2,10,20
2,11,22
2,12,24
2,13,26
2,14,28
2,15,30
3,0,0
3,1,3
3,2,6
3,3,7
3,4,12
3,5,15
3,6,18
3,7,19
3,8,24
3,9,27
3,10,30
3,11,31
3,12,28
3,13,31
3,14,34
3,15,35
4,0,0
4,1,4
4,2,8
4,3,12
4,4,16
4,5,20
4,6,24
4,7,28
4,8,32
4,9,36
4,10,40
4,11,44
4,12,48
4,13,52
4,14,56
4,15,60
5,0,0
5,1,5
5,2,10
5,3,15
5,4,20
5,5,25
5,6,30
5,7,35
5,8,40
5,9,45
5,10,50
5,11,55
5,12,60
5,13,65
5,14,70
5,15,75
6,0,0
6,1,6
6,2,12
6,3,14
6,4,24
6,5,30
6,6,36
6,7,38
6,8,48
6,9,54
6,10,60
6,11,62
6,12,56
6,13,62
6,14,68
6,15,70
7,0,0
7,1,7
7,2,14
7,3,15
7,4,28
7,5,35
7,6,42
7,7,43
7,8,56
7,9,63
7,10,70
7,11,71
7,12,60
7,13,67
7,14,74
7,15,75
8,0,0
8,1,8
8,2,16
8,3,24
8,4,32
8,5,40
8,6,48
8,7,56
8,8,64
8,9,72
8,10,80
8,11,88
8,12,96
8,13,104
8,14,112
8,15,120
9,0,0
9,1,9
9,2,18
9,3,27
9,4,36
9,5,45
9,6,54
9,7,63
9,8,72
9,9,81
9,10,90
9,11,99
9,12,108
9,13,117
9,14,126
9,15,135
10,0,0
10,1,10
10,2,20
10,3,30
10,4,40
10,5,50
10,6,60
10,7,70
10,8,80
10,9,90
10,10,100
10,11,110
10,12,120
10,13,130
10,14,140
10,15,150
11,0,0
11,1,11
11,2,22
11,3,31
11,4,44
11,5,55
11,6,66
11,7,75
11,8,88
11,9,99
11,10,110
11,11,119
11,12,124
11,13,135
11,14,146
11,15,155
12,0,0
12,1,12
12,2,24
12,3,28
12,4,48
12,5,60
12,6,72
12,7,76
12,8,96
12,9,108
12,10,120
12,11,124
12,12,112
12,13,124
12,14,136
12,15,140
13,0,0
13,1,13
13,2,26
13,3,31
13,4,52
13,5,65
13,6,78
13,7,83
13,8,104
13,9,117
13,10,130
13,11,135
13,12,124
13,13,137
13,14,150
13,15,155
14,0,0
14,1,14
14,2,28
14,3,30
14,4,56
14,5,70
14,6,84
14,7,86
14,8,112
14,9,126
14,10,140
14,11,142
14,12,120
14,13,134
14,14,148
14,15,150
15,0,0
15,1,15
15,2,30
15,3,31
15,4,60
15,5,75
15,6,90
15,7,91
15,8,120
15,9,135
15,10,150
15,11,151
15,12,124
15,13,139
15,14,154
15,15,155
